DateTime	Latitude_N	Longitude_E	Speed	Course	Altitude_m	HDOP	VDOP	SatelliteCount	ShowInKML	GSM_ID	file_date
2015-08-06 19:05:14	32.89061	-4.83085	0	184	1118	2.1	4.1	6	1	00000132	2015-08-06
2015-08-06 18:24:45	32.89989	-4.83239	1	224	1407	1.2	1.3	8	1	00000132	2015-08-06
2015-08-06 17:46:27	32.90167	-4.83014	0	9	1404	1.3	1.5	9	1	00000132	2015-08-06
2015-08-06 17:08:07	32.90173	-4.83000	0	0	1404	0.9	1.2	10	1	00000132	2015-08-06
2015-08-06 16:31:25	32.90116	-4.83094	0	0	1399	1.5	1.8	5	1	00000132	2015-08-06
2015-08-06 15:51:13	32.90131	-4.83211	0	29	1367	1.6	2.5	5	1	00000132	2015-08-06
2015-08-06 15:08:54	32.89963	-4.83434	0	0	1357	1.3	1.7	7	1	00000132	2015-08-06
2015-08-06 14:24:31	32.89971	-4.83412	0	0	1499	1.2	1.7	7	1	00000132	2015-08-06
2015-08-06 13:38:53	32.89953	-4.83433	0	0	1423	1.1	1.5	7	1	00000132	2015-08-06
2015-08-06 12:50:01	32.89950	-4.83431	0	0	1422	1.0	1.5	9	1	00000132	2015-08-06
2015-08-06 12:03:40	32.89961	-4.83446	0	0	1423	7.4	18.4	4	1	00000132	2015-08-06
2015-08-06 11:11:19	32.89926	-4.83451	0	0	1419	1.4	2.0	6	1	00000132	2015-08-06
2015-08-06 10:16:32	32.89843	-4.83336	0	0	1414	1.0	1.3	8	1	00000132	2015-08-06
2015-08-06 09:18:51	32.90149	-4.83185	0	0	1418	1.8	3.6	5	1	00000132	2015-08-06
2015-08-06 08:16:07	32.90175	-4.83093	0	0	1419	1.4	1.9	7	1	00000132	2015-08-06
2015-08-06 07:04:05	32.89941	-4.83161	1	358	1417	1.0	1.3	7	1	00000132	2015-08-06
2015-08-06 05:47:52	32.89029	-4.82757	0	8	1411	1.0	1.6	8	1	00000132	2015-08-06
2015-08-06 03:22:52	32.88374	-4.82835	0	0	1363	1.7	3.5	6	1	00000132	2015-08-06
2015-08-06 01:01:40	32.88361	-4.82818	0	0	1399	1.7	3.5	5	1	00000132	2015-08-06
2015-08-07 07:46:51	33.16992	-3.78526	0	0	863	2.3	3.7	6	1	00000134	2015-08-07
2015-08-07 06:40:31	33.17256	-3.78851	1	75	856	1.2	1.4	7	1	00000134	2015-08-07
2015-08-07 04:46:22	33.16806	-3.80343	0	0	854	3.6	4.2	4	1	00000134	2015-08-07
2015-08-07 02:21:49	33.16932	-3.80446	0	0	853	2.0	1.9	5	1	00000134	2015-08-07
2015-08-07 00:01:26	33.16939	-3.80450	0	0	855	1.1	1.4	8	1	00000134	2015-08-07
2015-08-06 21:44:02	33.16942	-3.80450	0	119	859	1.2	2.0	8	1	00000134	2015-08-07
2015-08-06 19:27:34	33.16814	-3.80424	0	0	855	1.2	2.1	8	1	00000134	2015-08-07
2015-08-06 18:20:22	33.17020	-3.80172	1	146	864	1.7	3.1	7	1	00000134	2015-08-07
2015-08-06 17:19:29	33.17120	-3.79548	0	0	843	1.8	1.6	5	1	00000134	2015-08-07
2015-08-06 16:17:12	33.16949	-3.79153	0	0	840	1.3	1.6	7	1	00000134	2015-08-07
2015-08-06 15:12:46	33.16906	-3.78998	0	0	867	1.4	2.8	6	1	00000134	2015-08-07
2015-08-06 14:05:40	33.16804	-3.79129	0	0	866	5.8	4.5	5	1	00000134	2015-08-07
2015-08-06 13:02:24	33.16894	-3.79008	0	55	865	1.6	2.2	6	1	00000134	2015-08-07
2015-08-06 11:59:52	33.16896	-3.79009	0	0	861	1.5	2.3	6	1	00000134	2015-08-07
2015-08-06 10:58:54	33.16893	-3.79013	0	191	849	4.4	5.3	5	1	00000134	2015-08-07
2015-08-06 10:00:15	33.16896	-3.79006	0	0	847	1.6	2.4	5	1	00000134	2015-08-07
2015-08-06 09:05:29	33.16897	-3.79007	0	0	855	1.7	4.6	5	1	00000134	2015-08-07
2015-08-06 08:11:08	33.16894	-3.79001	0	0	857	1.4	2.0	7	1	00000134	2015-08-07
2015-08-06 07:14:30	33.16960	-3.78562	0	157	857	1.1	1.2	6	1	00000134	2015-08-07
2015-08-06 06:14:23	33.17026	-3.78480	0	156	855	1.1	1.6	7	1	00000134	2015-08-07
2015-08-06 04:05:07	33.17255	-3.80518	0	0	845	1.6	1.9	6	1	00000134	2015-08-07
2015-08-06 02:00:41	33.17242	-3.80551	0	0	845	1.5	2.1	7	1	00000134	2015-08-07
2015-08-06 00:00:36	33.17413	-3.80280	0	0	854	1.4	2.2	7	1	00000134	2015-08-07
2015-08-06 06:01:25	33.26884	-3.88754	1	32	899	1.0	1.6	8	1	00000136	2015-08-06
2015-08-06 03:28:11	33.27086	-3.87542	0	0	887	3.1	4.4	4	1	00000136	2015-08-06
2015-08-06 00:59:38	33.26812	-3.87873	0	0	895	1.0	1.8	7	1	00000136	2015-08-06
2015-08-06 12:26:07	33.24600	-3.83562	0	0	824	1.2	1.9	8	1	00000143	2015-08-06
